api_calls,auxiliary_columns,brotli_base_bytes,brotli_compressed_bytes,brotli_savings_bytes,brotli_savings_ratio,candidate_id,config_name,dataset_id,group,gzip_base_bytes,gzip_compressed_bytes,gzip_savings_bytes,gzip_savings_ratio,input_tokens,lz4_base_bytes,lz4_compressed_bytes,lz4_savings_bytes,lz4_savings_ratio,output_tokens,reason,reconstruction_latency_ms,rows,selected,snappy_base_bytes,snappy_compressed_bytes,snappy_savings_bytes,snappy_savings_ratio,status,strategy,tool_calls,total_tokens,valid,zstd_base_bytes,zstd_compressed_bytes,zstd_savings_bytes,zstd_savings_ratio
2,2,5625149,5629144,-3995,-0.0007102034097230135,filepath_affix,sample-10BT,HuggingFaceFW/fineweb,agent,6512612,6516418,-3806,-0.000584404536920056,22635,10347623,10351175,-3552,-0.0003432672411818637,5615,,8.6375167,5000,False,10003818,10002083,1735,0.0001734337829816576,valid,two_stage,0,28250,True,7148394,7152197,-3803,-0.0005320076089818216
2,0,,,,,language_en,sample-10BT,HuggingFaceFW/fineweb,agent,,,,,22635,,,,,5615,candidate does not reduce Snappy Parquet size,,5000,False,2001903,2003043,-1140,-0.0005694581605602269,rejected,two_stage,0,28250,False,,,,
2,2,5625149,5628621,-3472,-0.0006172280947580233,filepath_affix_language_en,sample-10BT,HuggingFaceFW/fineweb,agent,6512612,6515863,-3251,-0.0004991852731285082,22635,10347623,10350658,-3035,-0.0002933040757283098,5615,,7.184324900000002,5000,True,10003818,10001564,2254,0.00022531397512429754,valid,two_stage,0,28250,True,7148394,7151664,-3270,-0.00045744540661860555
8,,,,,,,sample-10BT,HuggingFaceFW/fineweb,agent,,,,,101594,,,,,3142,ValueError: tool loop ended without submit_candidates,,5000,False,,,,,error,tool_loop,8,104736,False,,,,
,,,,,,,default,Metanova/SAVI-2020,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,,bigdata-pw/Flickr,dataset,,,,,,,,,,,dataset is not local and the configured repository may require authentication,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,default,vCache/SemBenchmarkLmArena,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,,,,,,default,vCache/SemBenchmarkClassification,dataset,,,,,,,,,,,dataset is not local and is outside the capped bootstrap allowlist,,0,False,,,,,skipped,,,,False,,,,
,,190846,190846,0,0.0,original,,nhagar/fineweb_urls,original,202839,202839,0,0.0,,315212,315212,0,0.0,,,,5000,False,302568,302568,0,0.0,valid,original,,,True,220073,220073,0,0.0
0,0,,,,,manual_fineweb_url_1,,nhagar/fineweb_urls,manual,,,,,0,,,,,0,reconstruction differs in 78 cell(s),,5000,False,,,,,invalid,manual,0,0,False,,,,
0,2,190846,164496,26350,0.13806943818576234,manual_fineweb_url_3,,nhagar/fineweb_urls,manual,202839,175271,27568,0.1359107469470861,0,315212,269992,45220,0.14345900536781594,0,,1.0022417,5000,True,302568,260065,42503,0.14047420745088707,valid,manual,0,0,True,220073,189703,30370,0.13799966374793818
